Number,Name,Classification,Height,Weight,Typings,Abilities,Base Stat Total,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
#061,Poliwhirl,Tadpole Pokémon,"['3\'03""', '1.0m']","['44.1lbs', '20.0kg']",['Water'],"['Water Absorb', 'Damp', 'Swift Swim']",385,65,65,65,50,50,90
#062,Poliwrath,Tadpole Pokémon,"['4\'03""', '1.3m']","['119.0lbs', '54.0kg']","['Water', 'Fighting']","['Water Absorb', 'Damp', 'Swift Swim']",510,90,95,95,70,90,70
#063,Abra,Psi Pokémon,"['2\'11""', '0.9m']","['43.0lbs', '19.5kg']",['Psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",310,25,20,15,105,55,90
#064,Kadabra,Psi Pokémon,"['4\'03""', '1.3m']","['124.6lbs', '56.5kg']",['Psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",400,40,35,30,120,70,105
#065,Alakazam,Psi Pokémon,"['4\'11""', '1.5m']","['105.8lbs', '48.0kg']",['Psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",500,55,50,45,135,95,120
#066,Machop,Superpower Pokémon,"['2\'07""', '0.8m']","['43.0lbs', '19.5kg']",['Fighting'],"['Guts', 'No Guard', 'Steadfast']",305,70,80,50,35,35,35
#067,Machoke,Superpower Pokémon,"['4\'11""', '1.5m']","['155.4lbs', '70.5kg']",['Fighting'],"['Guts', 'No Guard', 'Steadfast']",405,80,100,70,50,60,45
#068,Machamp,Superpower Pokémon,"['5\'03""', '1.6m']","['286.6lbs', '130.0kg']",['Fighting'],"['Guts', 'No Guard', 'Steadfast']",505,90,130,80,65,85,55
#069,Bellsprout,Flower Pokémon,"['2\'04""', '0.7m']","['8.8lbs', '4kg']","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']",300,50,75,35,70,30,40
#070,Weepinbell,Flycatcher Pokémon,"['3\'03""', '1m']","['14.1lbs', '6.4kg']","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']",390,65,90,50,85,45,55
#071,Victreebel,Flycatcher Pokémon,"['5\'07""', '1.7m']","['34.2lbs', '15.5kg']","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']",490,80,105,65,100,70,70
#072,Tentacool,Jellyfish Pokémon,"['2\'11""', '0.9m']","['100.3lbs', '45.5kg']","['Water', 'Poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']",335,40,40,35,50,100,70
#073,Tentacruel,Jellyfish Pokémon,"['5\'03""', '1.6m']","['121.3lbs', '55.0kg']","['Water', 'Poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']",515,80,70,65,80,120,100
#074,Geodude,Rock Pokémon,"['1\'04"" / 0\'00""', '0.4m / m']","['44.1lbs / 0.0lbs', '20kg / kg']","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']",300,40,80,100,30,30,20
#075,Graveler,Rock Pokémon,"['3\'03"" / 0\'00""', '1m / m']","['231.5lbs / 0.0lbs', '105kg / kg']","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']",390,55,95,115,45,45,35
#076,Golem,Megaton Pokémon,"['4\'07"" / 0\'00""', '1.4m / m']","['661.4lbs / 0.0lbs', '300kg / kg']","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']",495,80,120,130,55,65,45
#077,Ponyta,Fire Horse Pokémon (Kantonian)Unique Horn Pokémonn (Galarian),"['3\'03"" / 2\'07""', '1.0m / 0.8m']","['66.1lbs / 52.9lbs', '30.0kg / 24.0kg']",['Fire'],"['Run Away', 'Flash Fire', 'Flame Body']",410,50,85,55,65,65,90
#078,Rapidash,Fire Horse Pokémon (Kantonian)Unique Horn Pokémonn (Galarian),"['5\'07"" / 5\'07""', '1.7m / 1.7m']","['209.4lbs / 176.4lbs', '95.0kg / 80.0kg']",['Fire'],"['Run Away', 'Flash Fire', 'Flame Body']",500,65,100,70,80,80,105
#079,Slowpoke,Dopey Pokémon,"['3\'11"" / 3\'11""', '1.2m / 1.2m']","['79.4lbs / 79.4lbs', '36.0kg / 36.0kg']","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",315,90,65,65,40,40,15
#080,Slowbro,Hermit Crab Pokémon,"['5\'03"" / 5\'03""', '1.6m / 1.6m']","['173.1lbs / 155.4lbs', '78.5kg / 70.5kg']","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",490,95,75,110,100,80,30
#081,Magnemite,Magnet Pokémon,"['1\'00""', '0.3m']","['13.2lbs', '6.0kg']","['Electric', 'Steel']","['Magnet Pull', 'Sturdy', 'Analytic']",325,25,35,70,95,55,45
#082,Magneton,Magnet Pokémon,"['3\'03""', '1.0m']","['132.3lbs', '60.0kg']","['Electric', 'Steel']","['Magnet Pull', 'Sturdy', 'Analytic']",465,50,60,95,120,70,70
#083,Farfetch'd,Wild Duck Pokémon,"['2\'07"" / 2\'07""', '0.8m / 0.8m']","['33.1lbs / 92.6lbs', '15.0kg / 42.0kg']","['Normal', 'Flying']","['Keen Eye', 'Inner Focus', 'Defiant']",377,52,90,55,58,62,60
#084,Doduo,Twin Bird Pokémon,"['4\'07""', '1.4m']","['86.4lbs', '39.2kg']","['Normal', 'Flying']","['Run Away', 'Early Bird', 'Tangled Feet']",310,35,85,45,35,35,75
#085,Dodrio,Triple Bird Pokémon,"['5\'11""', '1.8m']","['187.8lbs', '85.2kg']","['Normal', 'Flying']","['Run Away', 'Early Bird', 'Tangled Feet']",470,60,110,70,60,60,110
#086,Seel,Sea Lion Pokémon,"['3\'07""', '1.1m']","['198.4lbs', '90kg']",['Water'],"['Thick Fat', 'Hydration', 'Ice Body']",325,65,45,55,45,70,45
#087,Dewgong,Sea Lion Pokémon,"['5\'07""', '1.7m']","['264.6lbs', '120kg']","['Water', 'Ice']","['Thick Fat', 'Hydration', 'Ice Body']",475,90,70,80,70,95,70
#088,Grimer,Sludge Pokémon,"['2\'11"" / 0\'00""', '0.9m / m']","['66.1lbs / 0.0lbs', '30kg / kg']",['Poison'],"['Stench', 'Sticky Hold', 'Poison Touch']",325,80,80,50,40,50,25
#089,Muk,Sludge Pokémon,"['3\'11"" / 0\'00""', '1.2m / m']","['66.1lbs / 0.0lbs', '30kg / kg']",['Poison'],"['Stench', 'Sticky Hold', 'Poison Touch']",500,105,105,75,65,100,50
#090,Shellder,Bivalve Pokémon,"['1\'00""', '0.3m']","['8.8lbs', '4.0kg']",['Water'],"['Shell Armor', 'Skill Link', 'Overcoat']",305,30,65,100,45,25,40
#091,Cloyster,Bivalve Pokémon,"['4\'11""', '1.5m']","['292.1lbs', '132.5kg']","['Water', 'Ice']","['Shell Armor', 'Skill Link', 'Overcoat']",525,50,95,180,85,45,70
#092,Gastly,Gas Pokémon,"['4\'03""', '1.3m']","['0.2lbs', '0.1kg']","['Ghost', 'Poison']",['Levitate'],310,30,35,30,100,35,80
#093,Haunter,Gas Pokémon,"['5\'03""', '1.6m']","['0.2lbs', '0.1kg']","['Ghost', 'Poison']",['Levitate'],405,45,50,45,115,55,95
#094,Gengar,Shadow Pokémon,"['4\'11""', '1.5m']","['89.3lbs', '40.5kg']","['Ghost', 'Poison']",['Cursed Body'],500,60,65,60,130,75,110
#095,Onix,Rock Snake Pokémon,"['28\'10""', '8.8m']","['463.0lbs', '210.0kg']","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Weak Armor']",385,35,45,160,30,45,70
#096,Drowzee,Hypnosis Pokémon,"['3\'03""', '1m']","['71.4lbs', '32.4kg']",['Psychic'],"['Insomnia', 'Forewarn', 'Inner Focus']",328,60,48,45,43,90,42
#097,Hypno,Hypnosis Pokémon,"['5\'03""', '1.6m']","['166.7lbs', '75.6kg']",['Psychic'],"['Insomnia', 'Forewarn', 'Inner Focus']",483,85,73,70,73,115,67
#098,Krabby,River Crab Pokémon,"['1\'04""', '0.4m']","['14.3lbs', '6.5kg']",['Water'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",325,30,105,90,25,25,50
#099,Kingler,Pincer Pokémon,"['4\'03""', '1.3m']","['132.3lbs', '60.0kg']",['Water'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",475,55,130,115,50,50,75
#100,Voltorb,Ball Pokémon (Kantonian)Sphere Pokémon (Hisuian),"['1\'08""', '0.5m']","['22.9lbs', '10.4kg']",['Electric'],"['Soundproof', 'Static', 'Aftermath']",330,40,30,50,55,55,100
#101,Electrode,Ball Pokémon,"['3\'11""', '1.2m']","['146.8lbs', '66.6kg']",['Electric'],"['Soundproof', 'Static', 'Aftermath']",490,60,50,70,80,80,150
#102,Exeggcute,Egg Pokémon,"['1\'04""', '0.4m']","['5.5lbs', '2.5kg']","['Grass', 'Psychic']","['Chlorophyll', 'Harvest']",325,60,40,80,60,45,40
#103,Exeggutor,Coconut Pokémon,"['6\'07"" / 35\'09""', '2.0m / 10.9m']","['264.6lbs / 916.2lbs', '120.0kg / 415.6kg']","['Grass', 'Psychic']","['Chlorophyll', 'Harvest']",530,95,95,85,125,75,55
#104,Cubone,Lonely Pokémon,"['1\'04""', '0.4m']","['14.3lbs', '6.5kg']",['Ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",320,50,50,95,40,50,35
#105,Marowak,Bone Keeper Pokémon,"['3\'03"" / 3\'03""', '1.0m / 1.0m']","['99.2lbs / 75.0lbs', '45.0kg / 34.0kg']",['Ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",425,60,80,110,50,80,45
#106,Hitmonlee,Kicking Pokémon,"['4\'11""', '1.5m']","['109.8lbs', '49.8kg']",['Fighting'],"['Limber', 'Reckless', 'Unburden']",455,50,120,53,35,110,87
#107,Hitmonchan,Punching Pokémon,"['4\'07""', '1.4m']","['110.7lbs', '50.2kg']",['Fighting'],"['Keen Eye', 'Iron Fist', 'Inner Focus']",455,50,105,79,35,110,76
#108,Lickitung,Licking Pokémon,"['3\'11""', '1.2m']","['144.4lbs', '65.5kg']",['Normal'],"['Own Tempo', 'Oblivious', 'Cloud Nine']",385,90,55,75,60,75,30
#109,Koffing,Poison Gas Pokémon,"['2\'00""', '0.6m']","['2.2lbs', '1.0kg']",['Poison'],"['Levitate', 'Neutralizing Gas', 'Stench']",340,40,65,95,60,45,35
#110,Weezing,Poison Gas Pokémon,"['3\'11"" / 9\'10""', '1.2m / 3.0m']","['20.9lbs / 35.3lbs', '9.5kg / 16.0kg']",['Poison'],"['Levitate', 'Neutralizing Gas', 'Stench']",490,65,90,120,85,70,60
#111,Rhyhorn,Spikes Pokémon,"['3\'03""', '1.0m']","['253.5lbs', '115.0kg']","['Ground', 'Rock']","['Lightning Rod', 'Rock Head', 'Reckless']",345,80,85,95,30,30,25
#112,Rhydon,Drill Pokémon,"['6\'03""', '1.9m']","['264.6lbs', '120.0kg']","['Ground', 'Rock']","['Lightning Rod', 'Rock Head', 'Reckless']",485,105,130,120,45,45,40
#113,Chansey,Egg Pokémon,"['3\'07""', '1.1m']","['76.3lbs', '34.6kg']",['Normal'],"['Natural Cure', 'Serene Grace', 'Healer']",450,250,5,5,35,105,50
#114,Tangela,Vine Pokémon,"['3\'03""', '1.0m']","['77.2lbs', '35.0kg']",['Grass'],"['Chlorophyll', 'Leaf Guard', 'Regenerator']",435,65,55,115,100,40,60
#115,Kangaskhan,Parent Pokémon,"['7\'03""', '2.2m']","['176.4lbs', '80.0kg']",['Normal'],"['Early Bird', 'Scrappy', 'Inner Focus']",490,105,95,80,40,80,90
#116,Horsea,Dragon Pokémon,"['1\'04""', '0.4m']","['17.6lbs', '8.0kg']",['Water'],"['Swift Swim', 'Sniper', 'Damp']",295,30,40,70,70,25,60
#117,Seadra,Dragon Pokémon,"['3\'11""', '1.2m']","['55.1lbs', '25.0kg']",['Water'],"['Poison Point', 'Sniper', 'Damp']",440,55,65,95,95,45,85
#118,Goldeen,Goldfish Pokémon,"['2\'00""', '0.6m']","['33.1lbs', '15.0kg']",['Water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",320,45,67,60,35,50,63
#119,Seaking,Goldfish Pokémon,"['4\'03""', '1.3m']","['86.0lbs', '39.0kg']",['Water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",450,80,92,65,65,80,68
#120,Staryu,Starshape Pokémon,"['2\'07""', '0.8m']","['76.1lbs', '34.5kg']",['Water'],"['Illuminate', 'Natural Cure', 'Analytic']",340,30,45,55,70,55,85
#121,Starmie,Mysterious Pokémon,"['3\'07""', '1.1m']","['176.4lbs', '80.0kg']","['Water', 'Psychic']","['Illuminate', 'Natural Cure', 'Analytic']",520,60,75,85,100,85,115
#122,Mr. Mime,Barrier Pokémon,"['4\'03"" / 4\'07""', '1.3m / 1.4m']","['120.2lbs / 125.2lbs', '54.5kg / 56.8kg']","['Psychic', 'Fairy']","['Soundproof', 'Filter', 'Technician']",460,40,45,65,100,120,90
#123,Scyther,Mantis Pokémon,"['4\'11""', '1.5m']","['123.5lbs', '56.0kg']","['Bug', 'Flying']","['Swarm', 'Technician', 'Steadfast']",500,70,110,80,55,80,105
#124,Jynx,Humanshape Pokémon,"['4\'07""', '1.4m']","['89.5lbs', '40.6kg']","['Ice', 'Psychic']","['Oblivious', 'Forewarn', 'Dry Skin']",455,65,50,35,115,95,95
#125,Electabuzz,Electric Pokémon,"['3\'07""', '1.1m']","['66.1lbs', '30.0kg']",['Electric'],"['Static', 'Vital Spirit']",490,65,83,57,95,85,105
#126,Magmar,Spitfire Pokémon,"['4\'03""', '1.3m']","['98.1lbs', '44.5kg']",['Fire'],"['Flame Body', 'Vital Spirit']",495,65,95,57,100,85,93
#127,Pinsir,Stagbeetle Pokémon,"['4\'11""', '1.5m']","['121.3lbs', '55.0kg']",['Bug'],"['Hyper Cutter', 'Mold Breaker', 'Moxie']",500,65,125,100,55,70,85
#128,Tauros,Wild Bull Pokémon,"['4\'07""', '1.4m']","['194.9lbs', '88.4kg']",['Normal'],"['Intimidate', 'Anger Point', 'Sheer Force']",490,75,100,95,40,70,110
#129,Magikarp,Fish Pokémon,"['2\'11""', '0.9m']","['22.0lbs', '10.0kg']",['Water'],"['Swift Swim', 'Rattled']",200,20,10,55,15,20,80
#130,Gyarados,Atrocious Pokémon,"['21\'04""', '6.5m']","['518.1lbs', '235.0kg']","['Water', 'Flying']","['Intimidate', 'Moxie']",540,95,125,79,60,100,81
#131,Lapras,Transport Pokémon,"['8\'02""', '2.5m']","['485.0lbs', '220.0kg']","['Water', 'Ice']","['Water Absorb', 'Shell Armor', 'Hydration']",535,130,85,80,85,95,60
#132,Ditto,Transform Pokémon,"['1\'00""', '0.3m']","['8.8lbs', '4.0kg']",['Normal'],"['Limber', 'Imposter']",288,48,48,48,48,48,48
#133,Eevee,Evolution Pokémon,"['1\'00""', '0.3m']","['14.3lbs', '6.5kg']",['Normal'],"['Run Away', 'Adaptability', 'Anticipation']",325,55,55,50,45,65,55
#134,Vaporeon,Bubble Jet Pokémon,"['3\'03""', '1.0m']","['63.9lbs', '29.0kg']",['Water'],"['Water Absorb', 'Hydration']",525,130,65,60,110,95,65
#135,Jolteon,Lightning Pokémon,"['2\'07""', '0.8m']","['54.0lbs', '24.5kg']",['Electric'],"['Volt Absorb', 'Quick Feet']",525,65,65,60,110,95,130
#136,Flareon,Flame Pokémon,"['2\'11""', '0.9m']","['55.1lbs', '25.0kg']",['Fire'],"['Flash Fire', 'Guts']",525,65,130,60,95,110,65
#137,Porygon,Virtual Pokémon,"['2\'07""', '0.8m']","['80.5lbs', '36.5kg']",['Normal'],"['Trace', 'Download', 'Analytic']",395,65,60,70,85,75,40
#138,Omanyte,Spiral Pokémon,"['1\'04""', '0.4m']","['16.5lbs', '7.5kg']","['Rock', 'Water']","['Swift Swim', 'Shell Armor', 'Weak Armor']",355,35,40,100,90,55,35
