number,name,sprite,class,height,weight,type1,type2,ability1,ability2,ability3,bst,hp,attack,defense,sp_attack,sp_defense,speed
017,Pidgeotto,require('../sprites/017.png'),Bird Pokémon,1.1m,30kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71
018,Pidgeot,require('../sprites/018.png'),Bird Pokémon,1.5m,39.5kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101
019,Rattata,require('../sprites/019.png'),Mouse Pokémon,0.3m / m,3.5kg / kg,Normal,,Run Away,Guts,Hustle,253,30,56,35,25,35,72
020,Raticate,require('../sprites/020.png'),Mouse Pokémon,0.7m / 0.8m,18.5kg / 24kg,Normal,,Run Away,Guts,Hustle,413,55,81,60,50,70,97
021,Spearow,require('../sprites/021.png'),Tiny Bird Pokémon,0.3m,2kg,Normal,Flying,Keen Eye,Sniper,,262,40,60,30,31,31,70
022,Fearow,require('../sprites/022.png'),Beak Pokémon,1.2m,38kg,Normal,Flying,Keen Eye,Sniper,,442,65,90,65,61,61,100
023,Ekans,require('../sprites/023.png'),Snake Pokémon,2m,6.9kg,Poison,,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55
024,Arbok,require('../sprites/024.png'),Cobra Pokémon,3.5m,65kg,Poison,,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80
025,Pikachu,require('../sprites/025.png'),Mouse Pokémon,0.4m,6.0kg,Electric,,Static,Lightning Rod,,320,35,55,40,50,50,90
026,Raichu,require('../sprites/026.png'),Mouse Pokémon,0.8m / 0.7m,30.0kg / 21.0kg,Electric,,Static,Lightning Rod,,485,60,90,55,90,80,110
027,Sandshrew,require('../sprites/027.png'),Mouse Pokémon,0.6m / 0.7m,12.0kg / 40.0kg,Ground,,Sand Veil,Sand Rush,,300,50,75,85,20,30,40
028,Sandslash,require('../sprites/028.png'),Mouse Pokémon,1.0m / 1.2m,29.5kg / 55.0kg,Ground,,Sand Veil,Sand Rush,,450,75,100,110,45,55,65
029,Nidoran♀,require('../sprites/029.png'),Poison Pin Pokémon,0.4m,7.0kg,Poison,,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41
030,Nidorina,require('../sprites/030.png'),Poison Pin Pokémon,0.8m,20.0kg,Poison,,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56
031,Nidoqueen,require('../sprites/031.png'),Drill Pokémon,1.3m,60.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76
032,Nidoran♂,require('../sprites/032.png'),Poison Pin Pokémon,0.5m,9.0kg,Poison,,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50
033,Nidorino,require('../sprites/033.png'),Poison Pin Pokémon,0.9m,19.5kg,Poison,,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65
034,Nidoking,require('../sprites/034.png'),Drill Pokémon,1.4m,62.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85
035,Clefairy,require('../sprites/035.png'),Fairy Pokémon,0.6m,7.5kg,Fairy,,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35
036,Clefable,require('../sprites/036.png'),Fairy Pokémon,1.3m,40.0kg,Fairy,,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60
037,Vulpix,require('../sprites/037.png'),Fox Pokémon,0.6m / 0.6m,9.9kg / 9.9kg,Fire,,Flash Fire,Drought,,299,38,41,40,50,65,65
038,Ninetales,require('../sprites/038.png'),Fox Pokémon,1.1m / 1.1m,19.9kg / 19.9kg,Fire,,Flash Fire,Drought,,505,73,76,75,81,100,100
039,Jigglypuff,require('../sprites/039.png'),Balloon Pokémon,0.5m,5.5kg,Normal,Fairy,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20
040,Wigglytuff,require('../sprites/040.png'),Balloon Pokémon,1.0m,12.0kg,Normal,Fairy,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45
041,Zubat,require('../sprites/041.png'),Bat Pokémon,0.8m,7.5kg,Poison,Flying,Inner Focus,Infiltrator,,245,40,45,35,30,40,55
042,Golbat,require('../sprites/042.png'),Bat Pokémon,1.6m,55.0kg,Poison,Flying,Inner Focus,Infiltrator,,455,75,80,70,65,75,90
043,Oddish,require('../sprites/043.png'),Weed Pokémon,0.5m,5.4kg,Grass,Poison,Chlorophyll,Run Away,,320,45,50,55,75,65,30
044,Gloom,require('../sprites/044.png'),Weed Pokémon,0.8m,8.6kg,Grass,Poison,Chlorophyll,Stench,,395,60,65,70,85,75,40
045,Vileplume,require('../sprites/045.png'),Flower Pokémon,1.2m,18.6kg,Grass,Poison,Chlorophyll,Effect Spore,,490,75,80,85,110,90,50
046,Paras,require('../sprites/046.png'),Mushroom Pokémon,0.3m,5.4kg,Bug,Grass,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25
047,Parasect,require('../sprites/047.png'),Mushroom Pokémon,1m,29.5kg,Bug,Grass,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30
048,Venonat,require('../sprites/048.png'),Insect Pokémon,1m,30kg,Bug,Poison,Compoundeyes,Tinted Lens,Run Away,305,60,55,50,40,55,45
049,Venomoth,require('../sprites/049.png'),Poison Moth Pokémon,1.5m,12.5kg,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90
050,Diglett,require('../sprites/050.png'),Mole Pokémon,0.2m / 0.2m,0.8kg / 1.0kg,Ground,,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95
051,Dugtrio,require('../sprites/051.png'),Mole Pokémon,0.7m / 0.7m,33.3kg / 66.6kg,Ground,,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120
052,Meowth,require('../sprites/052.png'),Scratch Cat Pokémon,0.4m / 0.4m,4.2kg / 4.2kg,Normal,,Pickup,Technician,Unnerve,290,40,45,35,40,40,90
053,Persian,require('../sprites/053.png'),Classy Cat Pokémon,1.0m / 1.1m,32.0kg / 33.0kg,Normal,,Limber,Technician,Unnerve,440,65,70,60,65,65,115
054,Psyduck,require('../sprites/054.png'),Duck Pokémon,0.8m,19.6kg,Water,,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55
055,Golduck,require('../sprites/055.png'),Duck Pokémon,1.7m,76.6kg,Water,,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85
056,Mankey,require('../sprites/056.png'),Pig Monkey Pokémon,0.5m,28kg,Fighting,,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70
057,Primeape,require('../sprites/057.png'),Pig Monkey Pokémon,1m,32kg,Fighting,,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95
058,Growlithe,require('../sprites/058.png'),Puppy Pokémon (Kantonian)Scout Pokémon (Hisuian),0.7m,19.0kg,Fire,,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60
059,Arcanine,require('../sprites/059.png'),Legendary Pokémon,1.9m,155.0kg,Fire,,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95
060,Poliwag,require('../sprites/060.png'),Tadpole Pokémon,0.6m,12.4kg,Water,,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90
061,Poliwhirl,require('../sprites/061.png'),Tadpole Pokémon,1.0m,20.0kg,Water,,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90
062,Poliwrath,require('../sprites/062.png'),Tadpole Pokémon,1.3m,54.0kg,Water,Fighting,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70
063,Abra,require('../sprites/063.png'),Psi Pokémon,0.9m,19.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90
064,Kadabra,require('../sprites/064.png'),Psi Pokémon,1.3m,56.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105
065,Alakazam,require('../sprites/065.png'),Psi Pokémon,1.5m,48.0kg,Psychic,,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120
066,Machop,require('../sprites/066.png'),Superpower Pokémon,0.8m,19.5kg,Fighting,,Guts,No Guard,Steadfast,305,70,80,50,35,35,35
067,Machoke,require('../sprites/067.png'),Superpower Pokémon,1.5m,70.5kg,Fighting,,Guts,No Guard,Steadfast,405,80,100,70,50,60,45
068,Machamp,require('../sprites/068.png'),Superpower Pokémon,1.6m,130.0kg,Fighting,,Guts,No Guard,Steadfast,505,90,130,80,65,85,55
069,Bellsprout,require('../sprites/069.png'),Flower Pokémon,0.7m,4kg,Grass,Poison,Chlorophyll,Gluttony,,300,50,75,35,70,30,40
070,Weepinbell,require('../sprites/070.png'),Flycatcher Pokémon,1m,6.4kg,Grass,Poison,Chlorophyll,Gluttony,,390,65,90,50,85,45,55
071,Victreebel,require('../sprites/071.png'),Flycatcher Pokémon,1.7m,15.5kg,Grass,Poison,Chlorophyll,Gluttony,,490,80,105,65,100,70,70
072,Tentacool,require('../sprites/072.png'),Jellyfish Pokémon,0.9m,45.5kg,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70
073,Tentacruel,require('../sprites/073.png'),Jellyfish Pokémon,1.6m,55.0kg,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100
074,Geodude,require('../sprites/074.png'),Rock Pokémon,0.4m / m,20kg / kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20
075,Graveler,require('../sprites/075.png'),Rock Pokémon,1m / m,105kg / kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,390,55,95,115,45,45,35
076,Golem,require('../sprites/076.png'),Megaton Pokémon,1.4m / m,300kg / kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,495,80,120,130,55,65,45
077,Ponyta,require('../sprites/077.png'),Fire Horse Pokémon (Kantonian)Unique Horn Pokémonn (Galarian),1.0m / 0.8m,30.0kg / 24.0kg,Fire,,Run Away,Flash Fire,Flame Body,410,50,85,55,65,65,90
078,Rapidash,require('../sprites/078.png'),Fire Horse Pokémon (Kantonian)Unique Horn Pokémonn (Galarian),1.7m / 1.7m,95.0kg / 80.0kg,Fire,,Run Away,Flash Fire,Flame Body,500,65,100,70,80,80,105
079,Slowpoke,require('../sprites/079.png'),Dopey Pokémon,1.2m / 1.2m,36.0kg / 36.0kg,Water,Psychic,Oblivious,Own Tempo,Regenerator,315,90,65,65,40,40,15
080,Slowbro,require('../sprites/080.png'),Hermit Crab Pokémon,1.6m / 1.6m,78.5kg / 70.5kg,Water,Psychic,Oblivious,Own Tempo,Regenerator,490,95,75,110,100,80,30
081,Magnemite,require('../sprites/081.png'),Magnet Pokémon,0.3m,6.0kg,Electric,Steel,Magnet Pull,Sturdy,Analytic,325,25,35,70,95,55,45
082,Magneton,require('../sprites/082.png'),Magnet Pokémon,1.0m,60.0kg,Electric,Steel,Magnet Pull,Sturdy,Analytic,465,50,60,95,120,70,70
083,Farfetch'd,require('../sprites/083.png'),Wild Duck Pokémon,0.8m / 0.8m,15.0kg / 42.0kg,Normal,Flying,Keen Eye,Inner Focus,Defiant,377,52,90,55,58,62,60
084,Doduo,require('../sprites/084.png'),Twin Bird Pokémon,1.4m,39.2kg,Normal,Flying,Run Away,Early Bird,Tangled Feet,310,35,85,45,35,35,75
085,Dodrio,require('../sprites/085.png'),Triple Bird Pokémon,1.8m,85.2kg,Normal,Flying,Run Away,Early Bird,Tangled Feet,470,60,110,70,60,60,110
086,Seel,require('../sprites/086.png'),Sea Lion Pokémon,1.1m,90kg,Water,,Thick Fat,Hydration,Ice Body,325,65,45,55,45,70,45
087,Dewgong,require('../sprites/087.png'),Sea Lion Pokémon,1.7m,120kg,Water,Ice,Thick Fat,Hydration,Ice Body,475,90,70,80,70,95,70
088,Grimer,require('../sprites/088.png'),Sludge Pokémon,0.9m / m,30kg / kg,Poison,,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25
089,Muk,require('../sprites/089.png'),Sludge Pokémon,1.2m / m,30kg / kg,Poison,,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50
090,Shellder,require('../sprites/090.png'),Bivalve Pokémon,0.3m,4.0kg,Water,,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40
091,Cloyster,require('../sprites/091.png'),Bivalve Pokémon,1.5m,132.5kg,Water,Ice,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70
092,Gastly,require('../sprites/092.png'),Gas Pokémon,1.3m,0.1kg,Ghost,Poison,Levitate,,,310,30,35,30,100,35,80
093,Haunter,require('../sprites/093.png'),Gas Pokémon,1.6m,0.1kg,Ghost,Poison,Levitate,,,405,45,50,45,115,55,95
094,Gengar,require('../sprites/094.png'),Shadow Pokémon,1.5m,40.5kg,Ghost,Poison,Cursed Body,,,500,60,65,60,130,75,110
095,Onix,require('../sprites/095.png'),Rock Snake Pokémon,8.8m,210.0kg,Rock,Ground,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70
096,Drowzee,require('../sprites/096.png'),Hypnosis Pokémon,1m,32.4kg,Psychic,,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42
097,Hypno,require('../sprites/097.png'),Hypnosis Pokémon,1.6m,75.6kg,Psychic,,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67
098,Krabby,require('../sprites/098.png'),River Crab Pokémon,0.4m,6.5kg,Water,,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50
099,Kingler,require('../sprites/099.png'),Pincer Pokémon,1.3m,60.0kg,Water,,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75
100,Voltorb,require('../sprites/100.png'),Ball Pokémon (Kantonian)Sphere Pokémon (Hisuian),0.5m,10.4kg,Electric,,Soundproof,Static,Aftermath,330,40,30,50,55,55,100
101,Electrode,require('../sprites/101.png'),Ball Pokémon,1.2m,66.6kg,Electric,,Soundproof,Static,Aftermath,490,60,50,70,80,80,150
102,Exeggcute,require('../sprites/102.png'),Egg Pokémon,0.4m,2.5kg,Grass,Psychic,Chlorophyll,Harvest,,325,60,40,80,60,45,40
103,Exeggutor,require('../sprites/103.png'),Coconut Pokémon,2.0m / 10.9m,120.0kg / 415.6kg,Grass,Psychic,Chlorophyll,Harvest,,530,95,95,85,125,75,55
104,Cubone,require('../sprites/104.png'),Lonely Pokémon,0.4m,6.5kg,Ground,,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35
105,Marowak,require('../sprites/105.png'),Bone Keeper Pokémon,1.0m / 1.0m,45.0kg / 34.0kg,Ground,,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45
106,Hitmonlee,require('../sprites/106.png'),Kicking Pokémon,1.5m,49.8kg,Fighting,,Limber,Reckless,Unburden,455,50,120,53,35,110,87
107,Hitmonchan,require('../sprites/107.png'),Punching Pokémon,1.4m,50.2kg,Fighting,,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76
108,Lickitung,require('../sprites/108.png'),Licking Pokémon,1.2m,65.5kg,Normal,,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30
109,Koffing,require('../sprites/109.png'),Poison Gas Pokémon,0.6m,1.0kg,Poison,,Levitate,Neutralizing Gas,Stench,340,40,65,95,60,45,35
110,Weezing,require('../sprites/110.png'),Poison Gas Pokémon,1.2m / 3.0m,9.5kg / 16.0kg,Poison,,Levitate,Neutralizing Gas,Stench,490,65,90,120,85,70,60
111,Rhyhorn,require('../sprites/111.png'),Spikes Pokémon,1.0m,115.0kg,Ground,Rock,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25
112,Rhydon,require('../sprites/112.png'),Drill Pokémon,1.9m,120.0kg,Ground,Rock,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40
113,Chansey,require('../sprites/113.png'),Egg Pokémon,1.1m,34.6kg,Normal,,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50
114,Tangela,require('../sprites/114.png'),Vine Pokémon,1.0m,35.0kg,Grass,,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60
115,Kangaskhan,require('../sprites/115.png'),Parent Pokémon,2.2m,80.0kg,Normal,,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90
116,Horsea,require('../sprites/116.png'),Dragon Pokémon,0.4m,8.0kg,Water,,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60
117,Seadra,require('../sprites/117.png'),Dragon Pokémon,1.2m,25.0kg,Water,,Poison Point,Sniper,Damp,440,55,65,95,95,45,85
118,Goldeen,require('../sprites/118.png'),Goldfish Pokémon,0.6m,15.0kg,Water,,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63
119,Seaking,require('../sprites/119.png'),Goldfish Pokémon,1.3m,39.0kg,Water,,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68
120,Staryu,require('../sprites/120.png'),Starshape Pokémon,0.8m,34.5kg,Water,,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85
121,Starmie,require('../sprites/121.png'),Mysterious Pokémon,1.1m,80.0kg,Water,Psychic,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115
122,Mr. Mime,require('../sprites/122.png'),Barrier Pokémon,1.3m / 1.4m,54.5kg / 56.8kg,Psychic,Fairy,Soundproof,Filter,Technician,460,40,45,65,100,120,90
123,Scyther,require('../sprites/123.png'),Mantis Pokémon,1.5m,56.0kg,Bug,Flying,Swarm,Technician,Steadfast,500,70,110,80,55,80,105
124,Jynx,require('../sprites/124.png'),Humanshape Pokémon,1.4m,40.6kg,Ice,Psychic,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95
125,Electabuzz,require('../sprites/125.png'),Electric Pokémon,1.1m,30.0kg,Electric,,Static,Vital Spirit,,490,65,83,57,95,85,105
126,Magmar,require('../sprites/126.png'),Spitfire Pokémon,1.3m,44.5kg,Fire,,Flame Body,Vital Spirit,,495,65,95,57,100,85,93
127,Pinsir,require('../sprites/127.png'),Stagbeetle Pokémon,1.5m,55.0kg,Bug,,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85
128,Tauros,require('../sprites/128.png'),Wild Bull Pokémon,1.4m,88.4kg,Normal,,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110
129,Magikarp,require('../sprites/129.png'),Fish Pokémon,0.9m,10.0kg,Water,,Swift Swim,Rattled,,200,20,10,55,15,20,80
130,Gyarados,require('../sprites/130.png'),Atrocious Pokémon,6.5m,235.0kg,Water,Flying,Intimidate,Moxie,,540,95,125,79,60,100,81
131,Lapras,require('../sprites/131.png'),Transport Pokémon,2.5m,220.0kg,Water,Ice,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60
132,Ditto,require('../sprites/132.png'),Transform Pokémon,0.3m,4.0kg,Normal,,Limber,Imposter,,288,48,48,48,48,48,48
133,Eevee,require('../sprites/133.png'),Evolution Pokémon,0.3m,6.5kg,Normal,,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55
134,Vaporeon,require('../sprites/134.png'),Bubble Jet Pokémon,1.0m,29.0kg,Water,,Water Absorb,Hydration,,525,130,65,60,110,95,65
135,Jolteon,require('../sprites/135.png'),Lightning Pokémon,0.8m,24.5kg,Electric,,Volt Absorb,Quick Feet,,525,65,65,60,110,95,130
136,Flareon,require('../sprites/136.png'),Flame Pokémon,0.9m,25.0kg,Fire,,Flash Fire,Guts,,525,65,130,60,95,110,65
137,Porygon,require('../sprites/137.png'),Virtual Pokémon,0.8m,36.5kg,Normal,,Trace,Download,Analytic,395,65,60,70,85,75,40
138,Omanyte,require('../sprites/138.png'),Spiral Pokémon,0.4m,7.5kg,Rock,Water,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35
139,Omastar,require('../sprites/139.png'),Spiral Pokémon,1.0m,35.0kg,Rock,Water,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55
140,Kabuto,require('../sprites/140.png'),Shellfish Pokémon,0.5m,11.5kg,Rock,Water,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55
141,Kabutops,require('../sprites/141.png'),Shellfish Pokémon,1.3m,40.5kg,Rock,Water,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80
142,Aerodactyl,require('../sprites/142.png'),Fossil Pokémon,1.8m,59.0kg,Rock,Flying,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130
143,Snorlax,require('../sprites/143.png'),Sleeping Pokémon,2.1m,460.0kg,Normal,,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30
144,Articuno,require('../sprites/144.png'),Freeze Pokémon (Kantonian)Cruel Pokémon (Galarian),1.7m / 1.7m,55.4kg / 50.9kg,Ice,Flying,Pressure,Snow Cloak,,580,90,85,100,95,125,85
145,Zapdos,require('../sprites/145.png'),Electric Pokémon (Kantonian)Strong Legs Pokémon (Galarian),1.6m / 1.6m,52.6kg / 58.2kg,Electric,Flying,Pressure,Static,,580,90,90,85,125,90,100
146,Moltres,require('../sprites/146.png'),Flame Pokémon (Kantonian)Malevolent Pokémon (Galarian),2.0m / 2.0m,60.0kg / 66.0kg,Fire,Flying,Pressure,Flame Body,,580,90,100,90,125,85,90
147,Dratini,require('../sprites/147.png'),Dragon Pokémon,1.8m,3.3kg,Dragon,,Shed Skin,Marvel Scale,,300,41,64,45,50,50,50
148,Dragonair,require('../sprites/148.png'),Dragon Pokémon,4.0m,16.5kg,Dragon,,Shed Skin,Marvel Scale,,420,61,84,65,70,70,70
149,Dragonite,require('../sprites/149.png'),Dragon Pokémon,2.2m,210.0kg,Dragon,Flying,Inner Focus,Multiscale,,600,91,134,95,100,100,80
150,Mewtwo,require('../sprites/150.png'),Genetic Pokémon,2.0m,122.0kg,Psychic,,Pressure,Unnerve,,680,106,110,90,154,90,130
151,Mew,require('../sprites/151.png'),New Species Pokémon,0.4m,4.0kg,Psychic,,Synchronize,,,600,100,100,100,100,100,100
152,Chikorita,require('../sprites/152.png'),Leaf Pokémon,0.9m,6.4kg,Grass,,Overgrow,Leaf Guard,,318,45,49,65,49,65,45
153,Bayleef,require('../sprites/153.png'),Leaf Pokémon,1.2m,15.8kg,Grass,,Overgrow,Leaf Guard,,405,60,62,80,63,80,60
154,Meganium,require('../sprites/154.png'),Herb Pokémon,1.8m,100.5kg,Grass,,Overgrow,Leaf Guard,,525,80,82,100,83,100,80
155,Cyndaquil,require('../sprites/155.png'),Fire Mouse Pokémon,0.5m,7.9kg,Fire,,Blaze,Flash Fire,,309,39,52,43,60,50,65
156,Quilava,require('../sprites/156.png'),Volcano Pokémon,0.9m,19kg,Fire,,Blaze,Flash Fire,,405,58,64,58,80,65,80
157,Typhlosion,require('../sprites/157.png'),Volcano Pokémon,1.7m,79.5kg,Fire,,Blaze,Flash Fire,,534,78,84,78,109,85,100
158,Totodile,require('../sprites/158.png'),Big Jaw Pokémon,0.6m,9.5kg,Water,,Torrent,Sheer Force,,314,50,65,64,44,48,43
159,Croconaw,require('../sprites/159.png'),Big Jaw Pokémon,1.1m,25kg,Water,,Torrent,Sheer Force,,405,65,80,80,59,63,58
160,Feraligatr,require('../sprites/160.png'),Big Jaw Pokémon,2.3m,88.8kg,Water,,Torrent,Sheer Force,,530,85,105,100,79,83,78
161,Sentret,require('../sprites/161.png'),Scout Pokémon,0.8m,6kg,Normal,,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20
162,Furret,require('../sprites/162.png'),Long Body Pokémon,1.8m,32.5kg,Normal,,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90
163,Hoothoot,require('../sprites/163.png'),Owl Pokémon,0.7m,21.2kg,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50
164,Noctowl,require('../sprites/164.png'),Owl Pokémon,1.6m,40.8kg,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70
165,Ledyba,require('../sprites/165.png'),Five Star Pokémon,1m,10.8kg,Bug,Flying,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55
166,Ledian,require('../sprites/166.png'),Five Star Pokémon,1.4m,35.6kg,Bug,Flying,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85
167,Spinarak,require('../sprites/167.png'),String Spit Pokémon,0.5m,8.5kg,Bug,Poison,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30
168,Ariados,require('../sprites/168.png'),Long Leg Pokémon,1.1m,33.5kg,Bug,Poison,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40
169,Crobat,require('../sprites/169.png'),Bat Pokémon,1.8m,75.0kg,Poison,Flying,Inner Focus,Infiltrator,,535,85,90,80,70,80,130
170,Chinchou,require('../sprites/170.png'),Angler Pokémon,0.5m,12.0kg,Water,Electric,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67
171,Lanturn,require('../sprites/171.png'),Light Pokémon,1.2m,22.5kg,Water,Electric,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67
172,Pichu,require('../sprites/172.png'),Tiny Mouse Pokémon,0.3m,2.0kg,Electric,,Static,Lightning Rod,,205,20,40,15,35,35,60
